index,Style,Category,Size,Qty
630,SET324,Set,XS,0
631,JNE3611,kurta,3XL,0
632,JNE3461,kurta,XXL,0
633,SET388,Set,L,0
634,JNE3784,kurta,M,1
635,SET114,Set,XS,1
636,SET331,Set,L,1
637,J0385,kurta,M,1
638,SET347,Set,L,1
639,JNE3437,kurta,XXL,0
640,JNE3065,kurta,XXL,1
641,J0343,Western Dress,XXL,1
642,J0119,Top,XL,1
643,J0003,Set,L,1
644,J0334,Top,XL,1
645,J0236,Set,XXL,1
646,J0126,Set,3XL,1
647,J0230,Set,S,2
648,J0230,Set,XL,1
649,SET171,Set,M,1
650,SET264,Set,XXL,1
651,JNE3365,kurta,3XL,0
652,J0230,Set,M,0
653,SET197,Set,L,1
654,J0341,Western Dress,S,1
655,J0012,Set,XXL,1
656,J0308,Western Dress,M,1
657,J0117,Top,XXL,1
658,SET183,Set,M,1
659,J0341,Western Dress,M,1
660,J0230,Set,S,1
661,J0012,Set,XXL,1
662,JNE3465,kurta,M,1
663,SET265,Set,XS,1
664,SET433,Set,XL,1
665,JNE3769,kurta,L,1
666,SET324,Set,L,1
667,JNE3468,kurta,3XL,1
668,J0334,Top,L,1
669,J0154,Western Dress,XXL,1
670,J0154,Western Dress,XS,1
671,SET268,Set,M,0
672,MEN5019,kurta,3XL,0
673,SET333,Set,XS,1
674,SET110,Set,3XL,1
675,SET293,Set,XXL,0
676,SET317,Set,XXL,0
677,SET355,Set,XXL,0
678,SET324,Set,XS,1
679,J0230,Set,S,1
680,PJNE2171,kurta,5XL,0
681,SET310,Set,S,1
682,JNE3794,kurta,M,1
683,SET219,Set,3XL,1
684,J0096,kurta,XL,1
685,JNE3562,kurta,XXL,1
686,JNE3745,kurta,S,1
687,JNE3465,kurta,XS,1
688,JNE3795,kurta,XS,1
689,SET397,Set,XXL,1
690,JNE3365,kurta,M,1
691,JNE3691,Top,L,0
692,SET145,Set,S,1
693,J0008,Set,S,1
694,J0341,Western Dress,S,1
695,JNE3405,kurta,L,1
696,SET220,Set,XL,1
697,J0341,Western Dress,M,1
698,JNE3371,kurta,3XL,1
699,JNE3487,kurta,3XL,1
700,JNE3702,kurta,3XL,1
701,JNE3461,kurta,3XL,1
702,JNE3739,kurta,L,1
703,SET265,Set,L,1
704,JNE3373,kurta,3XL,1
705,SET291,Set,XL,1
706,SET343,Set,XXL,1
707,JNE3534,kurta,XS,1
708,JNE3373,kurta,3XL,0
709,SET345,Set,XL,1
710,JNE3797,Western Dress,L,1
711,J0094,kurta,M,0
712,J0230,Set,L,1
713,SET364,Set,XXL,0
714,JNE2265,kurta,XL,1
715,JNE3690,Top,S,1
716,SET347,Set,XL,1
717,JNE3468,kurta,L,1
718,JNE3291,kurta,XL,1
719,JNE1998,kurta,S,0
720,JNE3715,kurta,S,1
721,J0003,Set,3XL,1
722,JNE3405,kurta,L,1
723,BL003,Blouse,Free,1
724,J0003,Set,3XL,1
725,J0341,Western Dress,S,1
726,JNE3405,kurta,S,1
727,MEN5005,kurta,3XL,1
728,MEN5028,kurta,XXL,1
729,J0215,Blouse,L,1
730,JNE3368,kurta,3XL,1
731,JNE3714,kurta,L,1
732,PJNE2199,kurta,6XL,1
733,JNE3634,kurta,M,1
734,J0280,Set,S,1
735,JNE3794,kurta,M,1
736,JNE3421,kurta,L,1
737,JNE3634,kurta,M,0
738,JNE3405,kurta,S,1
739,SET110,Set,S,1
740,J0117,Top,XXL,0
741,SET374,Set,XS,1
742,SET345,Set,L,1
743,J0230,Set,XL,1
744,J0003,Set,XL,1
745,SET285,Set,XS,1
746,JNE3394,kurta,XL,1
747,SET356,Set,XL,1
748,SET324,Set,M,0
749,J0095,Set,3XL,1
750,JNE3468,kurta,XXL,1
751,J0343,Western Dress,3XL,1
752,JNE3405,kurta,XL,1
753,J0380,Set,3XL,1
754,J0382,Set,XL,1
755,JNE3802,kurta,M,1
756,J0236,Set,XXL,1
757,J0095,Set,3XL,1
758,JNE3461,kurta,XL,1
759,MEN5009,kurta,M,1
760,PJNE3399,kurta,6XL,1
761,PJNE3068,kurta,6XL,1
762,JNE1998,kurta,XXL,1
763,JNE3468,kurta,XL,1
764,JNE3405,kurta,XXL,1
765,J0236,Set,S,1
766,JNE3440,kurta,XS,1
767,J0308,Western Dress,M,1
768,SET398,Set,L,1
769,JNE3799,kurta,XS,1
